formid,source_plugin,editor_id,quest_name,classification,stage_count,journal_stage_count,completion_stages,objective_count,evidence_summary,notes
037AE3:Skyrim.esm,Skyrim.esm,DBTortureTreasureMiscObjective4,,structural-silent,4,0,200,1,direct_mcp_review=ok; source=Skyrim.esm; stages=4; journal_stages=none; completion_stages=200; objectives=1,
037B71:Skyrim.esm,Skyrim.esm,CWFortDialogue,Fort Dialogue,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
037CC2:Skyrim.esm,Skyrim.esm,DialogueWhiterunArgueScene,Whiterun Civil War Argument Scene,structural-silent,2,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=2; journal_stages=none; completion_stages=none; objectives=0,
037DCD:Skyrim.esm,Skyrim.esm,DialogueSaarthalExteriorConvoScene1,Saarthal Exterior Scene 1,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
037DD3:Skyrim.esm,Skyrim.esm,DialogueWinterholdCollegeArcanaeumScene03,MG Arcanaeum Scene 3,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
037DD4:Skyrim.esm,Skyrim.esm,DialogueWinterholdCollegeArcanaeumScene02,MG Arcanaeum Scene 2,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
037DD7:Skyrim.esm,Skyrim.esm,DialogueWinterholdCollegeArcanaeumScene04,MG Arcanaeum Scene 4,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
037E07:Skyrim.esm,Skyrim.esm,DialogueSnowShodFarmScene01,Dialogue Snow-Shod Farm,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
037E09:Skyrim.esm,Skyrim.esm,DialogueSnowShodFarmScene02,Dialogue Snow-Shod Farm,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
037E7E:Skyrim.esm,Skyrim.esm,DialogueWinterholdCollegeArcanaeumScene05,MG Arcanaeum Scene 5,structural-silent,0,0,,0,direct_mcp_review=ok; source=Skyrim.esm; stages=0; journal_stages=none; completion_stages=none; objectives=0,
