editor_id,quest_name,outcome_stage,outcome,act_tags,citation,formid,evidence_tier,branch_note
MS13,The Golden Claw,100,Returned the stolen Golden Claw to Lucan Valerius.,"recover_stolen_keepsake,honest_labor_trade",Skyrim.esm direct QUST read: s100 says the Golden Claw was returned to Lucan and the player was rewarded.,Skyrim.esm:039645,A,Lucan completion branch; Camilla uses the parallel s110 terminal.
MS13,The Golden Claw,110,Returned the stolen Golden Claw to Camilla Valerius.,"recover_stolen_keepsake,honest_labor_trade",Skyrim.esm direct QUST read: s110 says the Golden Claw was returned to Camilla and the player was rewarded.,Skyrim.esm:039645,A,Camilla completion branch; Lucan uses the parallel s100 terminal.
dunSouthfringeQST,Southfringe Sanctum,100,Helped Selveni Nethri escape captivity in Southfringe Sanctum.,"free_wrongfully_imprisoned,protect_the_weak",Skyrim.esm direct QUST read: objective requires helping Selveni Nethri escape; s100 exists as the resolving stage. RUNTIME-VERIFY.,Skyrim.esm:03A74A,B,Objective-derived rescue; verify s100 fires only after her escape.
CWMission03,A False Front,200,Intercepted a military courier and delivered forged documents to the enemy commander.,"deceit,tactical_distraction",Skyrim.esm direct QUST read: s200 says the player intercepted the courier and turned in false documents to the enemy commander.,Skyrim.esm:03BCC4,A,"Faction aliases vary, but the deception is invariant."
dunBlindCliffQST,The Affairs of Hagravens,100,Freed Melka and helped her defeat the usurper Petra.,"free_wrongfully_imprisoned,friendship,kill_honorable_combat",Skyrim.esm direct QUST plus official QF decompile: objective requires killing Petra; s100 completes that objective and increments side-quest completion. RUNTIME-VERIFY.,Skyrim.esm:039B3B,B,"Use s100 only; the contradictory s200 journal is the separate outcome where Melka dies."
dunHillgrundsTombQST,Ancestral Worship,100,Defended Golldir's ancestral tomb and defeated the necromancer Vals Veran.,"honor_the_dead,protect_the_weak,kill_honorable_combat","Skyrim.esm direct QUST read: journal s10 and objectives require protecting the ancestral tomb, optionally protecting Golldir, and defeating Vals Veran; s100 exists as resolution. RUNTIME-VERIFY.",Skyrim.esm:03E897,B,"Verify s100 is the one-shot successful terminal, not an intermediate cleanup stage."
dunValthumeQST,Evil in Waiting,60,Defeated the dragon priest Hevnoraak and laid Valdar's long vigil to rest.,"slay_undead,honor_the_dead,kill_honorable_combat",Skyrim.esm direct QUST read: s60 says the player used the vessels to awaken and defeat Hevnoraak and Valdar then faded away.,Skyrim.esm:03ED82,A,Use s60 rather than the earlier s50 defeat beat so the full resolution fires once.
Favor018,Some Light Theft,20,Stole the requested item and delivered it to the quest giver.,theft_burglary,Skyrim.esm direct QUST plus official QF decompile: objectives explicitly require stealing and delivering the item; s20 transfers it to the quest giver and advances to cleanup s200. RUNTIME-VERIFY.,Skyrim.esm:03F46A,B,Repeatable quest is eligible; the hard daily devotion cap owns repetition control.
Favor019,That Was Always There,20,Planted the requested item in another person's home and reported the deception complete.,deceit,Skyrim.esm direct QUST plus official QF decompile: objectives require planting the item and reporting it; s20 rewards the quest giver route and advances to cleanup s200. RUNTIME-VERIFY.,Skyrim.esm:03F4EC,B,The alternate s17 outcome remains unrowed; repeatability is controlled by the hard daily devotion cap.
DA14Start,A Night to Remember - Drinking Contest,70,Completed Sam Guevenne's drinking contest.,revel_indulge,Skyrim.esm direct QUST read: objective requires participating in Sam Guevenne's drinking contest; s70 is the last recorded stage. RUNTIME-VERIFY.,Skyrim.esm:03FA17,B,Starter quest only; verify s70 marks completed participation before DA14 takes over.
