editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
dk_ThograMain,Thogra's Blood Oath,150,Fulfilled Thogra's blood oath and saw her blessed by Malacath,keep_oath,Mehrunes Dagon,-,m,small,"cross-gen candidate: keep_oath(m) from the Mehrunes Dagon Part B profile, stepped down; REVIEW before promotion",DK_Thogra.esp:167FDE
dk_ThograMain,Thogra's Blood Oath,410,Betrayed Thogra and killed her,break_oath_betray,The Hist,-,m,small,"cross-gen candidate: break_oath_betray(m) from the The Hist Part B profile, stepped down; REVIEW before promotion",DK_Thogra.esp:167FDE
dk_ThograMain,Thogra's Blood Oath,410,Betrayed Thogra and killed her,murder_treacherous,Boethiah,+,m,small,"cross-gen candidate: murder_treacherous(S) from the Boethiah Part B profile, stepped down; REVIEW before promotion",DK_Thogra.esp:167FDE
dk_ThograMain,Thogra's Blood Oath,410,Betrayed Thogra and killed her,murder_treacherous,Mephala,+,m,small,"cross-gen candidate: murder_treacherous(S) from the Mephala Part B profile, stepped down; REVIEW before promotion",DK_Thogra.esp:167FDE
dk_ThograMain,Thogra's Blood Oath,410,Betrayed Thogra and killed her,murder_treacherous,Mehrunes Dagon,+,m,small,"cross-gen candidate: murder_treacherous(m) from the Mehrunes Dagon Part B profile, stepped down; REVIEW before promotion",DK_Thogra.esp:167FDE
dk_ThograMain,Thogra's Blood Oath,410,Betrayed Thogra and killed her,murder_treacherous,Vaermina,+,m,small,"cross-gen candidate: murder_treacherous(m) from the Vaermina Part B profile, stepped down; REVIEW before promotion",DK_Thogra.esp:167FDE
018AuriFriendQuest,Song of the Green,80,Completed Auri's pilgrimage through Skyrim's beautiful groves and grew closer to her,honor_the_wild,Khenarthi,+,m,small,"cross-gen candidate: honor_the_wild(m) from the Khenarthi Part B profile, stepped down; REVIEW before promotion",018Auri.esp:03E4B1
018AuriFriendQuest,Song of the Green,80,Completed Auri's pilgrimage through Skyrim's beautiful groves and grew closer to her,honor_the_wild,The Hist,+,m,small,"cross-gen candidate: honor_the_wild(S) from the The Hist Part B profile, stepped down; REVIEW before promotion",018Auri.esp:03E4B1
018AuriFriendQuest,Song of the Green,80,Completed Auri's pilgrimage through Skyrim's beautiful groves and grew closer to her,honor_the_wild,Hircine,+,m,small,"cross-gen candidate: honor_the_wild(m) from the Hircine Part B profile, stepped down; REVIEW before promotion",018Auri.esp:03E4B1
MRTstage3Bad,M'rissi's Tails of Troubles,100,Betrayed M'rissi's trust and reduced her to a docile slave,break_oath_betray,The Hist,-,m,small,"cross-gen candidate: break_oath_betray(m) from the The Hist Part B profile, stepped down; REVIEW before promotion",MrissiTailOfTroubles.esp:554AD5
MRTstage3Bad,M'rissi's Tails of Troubles,100,Betrayed M'rissi's trust and reduced her to a docile slave,break_oath_betray,Sithis,-,S,small,"cross-gen candidate: break_oath_betray(C) from the Sithis Part B profile, stepped down; REVIEW before promotion",MrissiTailOfTroubles.esp:554AD5
MRTstage3Bad,M'rissi's Tails of Troubles,100,Betrayed M'rissi's trust and reduced her to a docile slave,break_oath_betray,Boethiah,+,m,small,"cross-gen candidate: break_oath_betray(m) from the Boethiah Part B profile, stepped down; REVIEW before promotion",MrissiTailOfTroubles.esp:554AD5
BPUFXelzazCrimsonNirnroot,Of Crimson,23,Completed a rigorous study that reproduced crimson Nirnroot with fungicultures,disciplined_study,Akatosh,+,m,small,"cross-gen candidate: disciplined_study(m) from the Akatosh Part B profile, stepped down; REVIEW before promotion",BPUFXelzazFollower.esp:C6E975
BPUFXelzazCrimsonNirnroot,Of Crimson,23,Completed a rigorous study that reproduced crimson Nirnroot with fungicultures,disciplined_study,Azura,+,m,small,"cross-gen candidate: disciplined_study(m) from the Azura Part B profile, stepped down; REVIEW before promotion",BPUFXelzazFollower.esp:C6E975
AnvilMoonpathQuest,By the Light of the Moon,60,Guided the Khajiit caravan through the broken moonpath and arrived in Tenmar Forest,honor_the_wild,Kyne,+,m,small,"cross-gen candidate: honor_the_wild(S) from the Kyne Part B profile, stepped down; REVIEW before promotion",moonpath.esp:06A8CA
AnvilMoonpathQuest,By the Light of the Moon,60,Guided the Khajiit caravan through the broken moonpath and arrived in Tenmar Forest,honor_the_wild,Y'ffre,+,m,small,"cross-gen candidate: honor_the_wild(S) from the Y'ffre Part B profile, stepped down; REVIEW before promotion",moonpath.esp:06A8CA
AnvilMoonpathQuest,By the Light of the Moon,60,Guided the Khajiit caravan through the broken moonpath and arrived in Tenmar Forest,honor_the_wild,The Hist,+,m,small,"cross-gen candidate: honor_the_wild(S) from the The Hist Part B profile, stepped down; REVIEW before promotion",moonpath.esp:06A8CA
