editor_id,quest_name,outcome_stage,outcome,act_tags,deity,valence,intensity,magnitude,citation,formid
hagquest,Birds of a Feather,250,Used harmless substitutes to stop Misha's family-organ rite and killed the witch through the poisoned stew,protect_the_weak,Kynareth,+,m,small,"cross-gen KEEP: protect_the_weak(m) from the Kynareth Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,250,Used harmless substitutes to stop Misha's family-organ rite and killed the witch through the poisoned stew,murder_treacherous,Shor,-,m,small,"cross-gen KEEP: murder_treacherous(S) from the Shor Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,250,Used harmless substitutes to stop Misha's family-organ rite and killed the witch through the poisoned stew,protect_the_weak,Stuhn,+,m,small,"cross-gen KEEP: protect_the_weak(S) from the Stuhn Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,250,Used harmless substitutes to stop Misha's family-organ rite and killed the witch through the poisoned stew,protect_the_weak,Syrabane,+,S,small,"cross-gen KEEP: protect_the_weak(C) from the Syrabane Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,250,Used harmless substitutes to stop Misha's family-organ rite and killed the witch through the poisoned stew,protect_the_weak,Khenarthi,+,m,small,"cross-gen KEEP: protect_the_weak(S) from the Khenarthi Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,250,Used harmless substitutes to stop Misha's family-organ rite and killed the witch through the poisoned stew,murder_treacherous,HoonDing,-,m,small,"cross-gen KEEP: murder_treacherous(m) from the HoonDing Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,250,Used harmless substitutes to stop Misha's family-organ rite and killed the witch through the poisoned stew,murder_treacherous,Leki,-,m,small,"cross-gen KEEP: murder_treacherous(S) from the Leki Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,250,Used harmless substitutes to stop Misha's family-organ rite and killed the witch through the poisoned stew,protect_the_weak,The Hist,+,m,small,"cross-gen KEEP: protect_the_weak(S) from the The Hist Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,250,Used harmless substitutes to stop Misha's family-organ rite and killed the witch through the poisoned stew,murder_treacherous,Sithis,+,m,small,"cross-gen KEEP: murder_treacherous(S) from the Sithis Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,250,Used harmless substitutes to stop Misha's family-organ rite and killed the witch through the poisoned stew,murder_treacherous,Boethiah,+,m,small,"cross-gen KEEP: murder_treacherous(S) from the Boethiah Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,250,Used harmless substitutes to stop Misha's family-organ rite and killed the witch through the poisoned stew,murder_treacherous,Mephala,+,m,small,"cross-gen KEEP: murder_treacherous(S) from the Mephala Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,250,Used harmless substitutes to stop Misha's family-organ rite and killed the witch through the poisoned stew,murder_treacherous,Mehrunes Dagon,+,m,small,"cross-gen KEEP: murder_treacherous(m) from the Mehrunes Dagon Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,250,Used harmless substitutes to stop Misha's family-organ rite and killed the witch through the poisoned stew,murder_treacherous,Vaermina,+,m,small,"cross-gen KEEP: murder_treacherous(m) from the Vaermina Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,300,Completed Misha's family-organ rite and enabled her transformation into a hag,kill_the_helpless,Stendarr,-,S,small,"cross-gen KEEP: kill_the_helpless(C) from the Stendarr Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,300,Completed Misha's family-organ rite and enabled her transformation into a hag,ritual_sacrifice,Mara,-,m,small,"cross-gen KEEP: ritual_sacrifice(S) from the Mara Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,300,Completed Misha's family-organ rite and enabled her transformation into a hag,ritual_sacrifice,Arkay,-,m,small,"cross-gen KEEP: ritual_sacrifice(m) from the Arkay Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,300,Completed Misha's family-organ rite and enabled her transformation into a hag,kill_the_helpless,Dibella,-,m,small,"cross-gen KEEP: kill_the_helpless(m) from the Dibella Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,300,Completed Misha's family-organ rite and enabled her transformation into a hag,reckless_magic,Julianos,-,m,small,"cross-gen KEEP: reckless_magic(S) from the Julianos Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,300,Completed Misha's family-organ rite and enabled her transformation into a hag,kill_the_helpless,Talos,-,m,small,"cross-gen KEEP: kill_the_helpless(m) from the Talos Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,300,Completed Misha's family-organ rite and enabled her transformation into a hag,kill_the_helpless,Kyne,-,m,small,"cross-gen KEEP: kill_the_helpless(m) from the Kyne Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,300,Completed Misha's family-organ rite and enabled her transformation into a hag,kill_the_helpless,Shor,-,m,small,"cross-gen KEEP: kill_the_helpless(m) from the Shor Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,300,Completed Misha's family-organ rite and enabled her transformation into a hag,kill_the_helpless,Tsun,-,m,small,"cross-gen KEEP: kill_the_helpless(m) from the Tsun Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,300,Completed Misha's family-organ rite and enabled her transformation into a hag,kill_the_helpless,Stuhn,-,S,small,"cross-gen KEEP: kill_the_helpless(C) from the Stuhn Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,300,Completed Misha's family-organ rite and enabled her transformation into a hag,reckless_magic,Magnus,-,S,small,"cross-gen KEEP: reckless_magic(C) from the Magnus Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,300,Completed Misha's family-organ rite and enabled her transformation into a hag,reckless_magic,Syrabane,-,m,small,"cross-gen KEEP: reckless_magic(S) from the Syrabane Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,300,Completed Misha's family-organ rite and enabled her transformation into a hag,kill_the_helpless,Baan Dar,-,m,small,"cross-gen KEEP: kill_the_helpless(m) from the Baan Dar Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,300,Completed Misha's family-organ rite and enabled her transformation into a hag,kill_the_helpless,Khenarthi,-,m,small,"cross-gen KEEP: kill_the_helpless(m) from the Khenarthi Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,300,Completed Misha's family-organ rite and enabled her transformation into a hag,kill_the_helpless,Rajhin,-,m,small,"cross-gen KEEP: kill_the_helpless(m) from the Rajhin Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,300,Completed Misha's family-organ rite and enabled her transformation into a hag,kill_the_helpless,HoonDing,-,m,small,"cross-gen KEEP: kill_the_helpless(m) from the HoonDing Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,300,Completed Misha's family-organ rite and enabled her transformation into a hag,ritual_sacrifice,Boethiah,+,m,small,"cross-gen KEEP: ritual_sacrifice(S) from the Boethiah Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,300,Completed Misha's family-organ rite and enabled her transformation into a hag,kill_the_helpless,Molag Bal,+,S,small,"cross-gen KEEP: kill_the_helpless(C) from the Molag Bal Part B profile, stepped down",3DNPC.esp:1D094E
hagquest,Birds of a Feather,300,Completed Misha's family-organ rite and enabled her transformation into a hag,reckless_magic,Sheogorath,+,m,small,"cross-gen KEEP: reckless_magic(m) from the Sheogorath Part B profile, stepped down",3DNPC.esp:1D094E
ArilwaenQuest,The Immortal Coil,200,Completed Arilwaen's anti-Thalmor operation and defended the Talos resistance,defy_tyranny_talos,Talos,+,S,small,"cross-gen KEEP: defy_tyranny_talos(C) from the Talos Part B profile, stepped down",3DNPC.esp:2838D9
ArilwaenQuest,The Immortal Coil,200,Completed Arilwaen's anti-Thalmor operation and defended the Talos resistance,kill_honorable_combat,Kyne,+,m,small,"cross-gen KEEP: kill_honorable_combat(S) from the Kyne Part B profile, stepped down",3DNPC.esp:2838D9
ArilwaenQuest,The Immortal Coil,200,Completed Arilwaen's anti-Thalmor operation and defended the Talos resistance,kill_honorable_combat,Shor,+,S,small,"cross-gen KEEP: kill_honorable_combat(C) from the Shor Part B profile, stepped down",3DNPC.esp:2838D9
ArilwaenQuest,The Immortal Coil,200,Completed Arilwaen's anti-Thalmor operation and defended the Talos resistance,kill_honorable_combat,Tsun,+,m,small,"cross-gen KEEP: kill_honorable_combat(S) from the Tsun Part B profile, stepped down",3DNPC.esp:2838D9
ArilwaenQuest,The Immortal Coil,200,Completed Arilwaen's anti-Thalmor operation and defended the Talos resistance,kill_honorable_combat,Trinimac,+,m,small,"cross-gen KEEP: kill_honorable_combat(S) from the Trinimac Part B profile, stepped down",3DNPC.esp:2838D9
ArilwaenQuest,The Immortal Coil,200,Completed Arilwaen's anti-Thalmor operation and defended the Talos resistance,kill_honorable_combat,Malacath,+,m,small,"cross-gen KEEP: kill_honorable_combat(S) from the Malacath Part B profile, stepped down",3DNPC.esp:2838D9
ArilwaenQuest,The Immortal Coil,200,Completed Arilwaen's anti-Thalmor operation and defended the Talos resistance,kill_honorable_combat,HoonDing,+,m,small,"cross-gen KEEP: kill_honorable_combat(m) from the HoonDing Part B profile, stepped down",3DNPC.esp:2838D9
ArilwaenQuest,The Immortal Coil,200,Completed Arilwaen's anti-Thalmor operation and defended the Talos resistance,kill_honorable_combat,Leki,+,m,small,"cross-gen KEEP: kill_honorable_combat(S) from the Leki Part B profile, stepped down",3DNPC.esp:2838D9
ArilwaenQuest,The Immortal Coil,200,Completed Arilwaen's anti-Thalmor operation and defended the Talos resistance,kill_honorable_combat,Hircine,+,m,small,"cross-gen KEEP: kill_honorable_combat(S) from the Hircine Part B profile, stepped down",3DNPC.esp:2838D9
ArilwaenQuest,The Immortal Coil,200,Completed Arilwaen's anti-Thalmor operation and defended the Talos resistance,kill_honorable_combat,Mehrunes Dagon,+,m,small,"cross-gen KEEP: kill_honorable_combat(m) from the Mehrunes Dagon Part B profile, stepped down",3DNPC.esp:2838D9
ArilwaenQuest,The Immortal Coil,500,Betrayed Arilwaen by delivering her letters to the Thalmor and accepting their reward,break_oath_betray,Akatosh,-,m,small,"cross-gen KEEP: break_oath_betray(S) from the Akatosh Part B profile, stepped down",3DNPC.esp:2838D9
ArilwaenQuest,The Immortal Coil,500,Betrayed Arilwaen by delivering her letters to the Thalmor and accepting their reward,break_oath_betray,Stuhn,-,m,small,"cross-gen KEEP: break_oath_betray(S) from the Stuhn Part B profile, stepped down",3DNPC.esp:2838D9
ArilwaenQuest,The Immortal Coil,500,Betrayed Arilwaen by delivering her letters to the Thalmor and accepting their reward,break_oath_betray,Trinimac,-,m,small,"cross-gen KEEP: break_oath_betray(S) from the Trinimac Part B profile, stepped down",3DNPC.esp:2838D9
ArilwaenQuest,The Immortal Coil,500,Betrayed Arilwaen by delivering her letters to the Thalmor and accepting their reward,break_oath_betray,Z'en,-,m,small,"cross-gen KEEP: break_oath_betray(m) from the Z'en Part B profile, stepped down",3DNPC.esp:2838D9
ArilwaenQuest,The Immortal Coil,500,Betrayed Arilwaen by delivering her letters to the Thalmor and accepting their reward,break_oath_betray,Malacath,-,S,small,"cross-gen KEEP: break_oath_betray(C) from the Malacath Part B profile, stepped down",3DNPC.esp:2838D9
ArilwaenQuest,The Immortal Coil,500,Betrayed Arilwaen by delivering her letters to the Thalmor and accepting their reward,break_oath_betray,The Hist,-,m,small,"cross-gen KEEP: break_oath_betray(m) from the The Hist Part B profile, stepped down",3DNPC.esp:2838D9
ArilwaenQuest,The Immortal Coil,500,Betrayed Arilwaen by delivering her letters to the Thalmor and accepting their reward,break_oath_betray,Boethiah,+,m,small,"cross-gen KEEP: break_oath_betray(m) from the Boethiah Part B profile, stepped down",3DNPC.esp:2838D9
3DNPCMQ7,An End to Keep,500,Sacrificed the player's own life rather than forcing Larsdon to bear the cost,self_sacrifice,Stendarr,+,S,small,"cross-gen KEEP: self_sacrifice(C) from the Stendarr Part B profile, stepped down",3DNPC.esp:1B462D
3DNPCMQ7,An End to Keep,500,Sacrificed the player's own life rather than forcing Larsdon to bear the cost,self_sacrifice,Mara,+,S,small,"cross-gen KEEP: self_sacrifice(C) from the Mara Part B profile, stepped down",3DNPC.esp:1B462D
3DNPCMQ7,An End to Keep,500,Sacrificed the player's own life rather than forcing Larsdon to bear the cost,protect_the_weak,Kynareth,+,m,small,"cross-gen KEEP: protect_the_weak(m) from the Kynareth Part B profile, stepped down",3DNPC.esp:1B462D
3DNPCMQ7,An End to Keep,500,Sacrificed the player's own life rather than forcing Larsdon to bear the cost,self_sacrifice,Talos,+,m,small,"cross-gen KEEP: self_sacrifice(S) from the Talos Part B profile, stepped down",3DNPC.esp:1B462D
3DNPCMQ7,An End to Keep,500,Sacrificed the player's own life rather than forcing Larsdon to bear the cost,self_sacrifice,Tsun,+,m,small,"cross-gen KEEP: self_sacrifice(S) from the Tsun Part B profile, stepped down",3DNPC.esp:1B462D
3DNPCMQ7,An End to Keep,500,Sacrificed the player's own life rather than forcing Larsdon to bear the cost,protect_the_weak,Stuhn,+,m,small,"cross-gen KEEP: protect_the_weak(S) from the Stuhn Part B profile, stepped down",3DNPC.esp:1B462D
3DNPCMQ7,An End to Keep,500,Sacrificed the player's own life rather than forcing Larsdon to bear the cost,protect_the_weak,Syrabane,+,S,small,"cross-gen KEEP: protect_the_weak(C) from the Syrabane Part B profile, stepped down",3DNPC.esp:1B462D
3DNPCMQ7,An End to Keep,500,Sacrificed the player's own life rather than forcing Larsdon to bear the cost,protect_the_weak,Khenarthi,+,m,small,"cross-gen KEEP: protect_the_weak(S) from the Khenarthi Part B profile, stepped down",3DNPC.esp:1B462D
3DNPCMQ7,An End to Keep,500,Sacrificed the player's own life rather than forcing Larsdon to bear the cost,self_sacrifice,The Hist,+,m,small,"cross-gen KEEP: self_sacrifice(S) from the The Hist Part B profile, stepped down",3DNPC.esp:1B462D
3DNPCMQ7,An End to Keep,500,Sacrificed the player's own life rather than forcing Larsdon to bear the cost,self_sacrifice,Molag Bal,-,m,small,"cross-gen KEEP: self_sacrifice(m) from the Molag Bal Part B profile, stepped down",3DNPC.esp:1B462D
CWQQ2,Forgotten Lore,200,Recovered all five missing pages of Vanus Galerion's rare historical tome,disciplined_study,Akatosh,+,m,small,"cross-gen KEEP: disciplined_study(m) from the Akatosh Part B profile, stepped down",3DNPC.esp:038120
CWQQ2,Forgotten Lore,200,Recovered all five missing pages of Vanus Galerion's rare historical tome,disciplined_study,Julianos,+,S,small,"cross-gen KEEP: disciplined_study(C) from the Julianos Part B profile, stepped down",3DNPC.esp:038120
CWQQ2,Forgotten Lore,200,Recovered all five missing pages of Vanus Galerion's rare historical tome,disciplined_study,Auri-El,+,m,small,"cross-gen KEEP: disciplined_study(S) from the Auri-El Part B profile, stepped down",3DNPC.esp:038120
CWQQ2,Forgotten Lore,200,Recovered all five missing pages of Vanus Galerion's rare historical tome,disciplined_study,Magnus,+,S,small,"cross-gen KEEP: disciplined_study(C) from the Magnus Part B profile, stepped down",3DNPC.esp:038120
CWQQ2,Forgotten Lore,200,Recovered all five missing pages of Vanus Galerion's rare historical tome,disciplined_study,Xarxes,+,m,small,"cross-gen KEEP: disciplined_study(S) from the Xarxes Part B profile, stepped down",3DNPC.esp:038120
CWQQ2,Forgotten Lore,200,Recovered all five missing pages of Vanus Galerion's rare historical tome,disciplined_study,Azura,+,m,small,"cross-gen KEEP: disciplined_study(m) from the Azura Part B profile, stepped down",3DNPC.esp:038120
CWQQ2,Forgotten Lore,200,Recovered all five missing pages of Vanus Galerion's rare historical tome,disciplined_study,Hermaeus Mora,+,m,small,"cross-gen KEEP: disciplined_study(S) from the Hermaeus Mora Part B profile, stepped down",3DNPC.esp:038120
DialogueTheRelic,Relic's Revival,20,Successfully repaired a malfunctioning sentient Dwemer Spider Centurion,master_craft_forge,Zenithar,+,m,small,"cross-gen KEEP: master_craft_forge(S) from the Zenithar Part B profile, stepped down",3DNPC.esp:044B3C
DialogueTheRelic,Relic's Revival,20,Successfully repaired a malfunctioning sentient Dwemer Spider Centurion,master_craft_forge,Malacath,+,m,small,"cross-gen KEEP: master_craft_forge(S) from the Malacath Part B profile, stepped down",3DNPC.esp:044B3C
