input_id,batch_id,wave,separator,mod,plugin,plugin_path,evidence_id,evidence_kind,reader_status,record_signature,formid,editor_id,name,quest_expansion_classification,stage_numbers,evidence,signal_counts,proposed_triage,proposed_reason,notes,primary_review_status
d3f2f6993a72194d,A002,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Ebony Plate,ccbgssse063-ba_ebony.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Ebony Plate\ccbgssse063-ba_ebony.esl,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,,BOOK=7|SPEL=0|MISC=0|LCTN=0|ACTI=1|FACT=1,ROWABLE,Primary review: explicit charity and Talos-prayer objectives expose rowable acts.,116 records; QUST=2; direct raw file read.,APPROVED
93090dd7948e2cec,A002,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Elven Hunter,ccbgssse064-ba_elven.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Elven Hunter\ccbgssse064-ba_elven.esl,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,,BOOK=5|SPEL=0|MISC=0|LCTN=0|ACTI=0|FACT=0,ROWABLE,Primary review: named armed foe resolved in combat; cross-generation review required.,51 records; QUST=2; direct raw file read.,APPROVED
33e88e1a179deaad,A002,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Iron,ccbgssse052-ba_iron.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Iron\ccbgssse052-ba_iron.esl,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,,BOOK=3|SPEL=0|MISC=0|LCTN=0|ACTI=0|FACT=0,ROWABLE,Primary review: direct Thalmor confrontation is a rowable resolving outcome.,68 records; QUST=2; direct raw file read.,APPROVED
798d58334795ef5f,A002,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Leather,ccbgssse053-ba_leather.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Leather\ccbgssse053-ba_leather.esl,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,,BOOK=4|SPEL=0|MISC=0|LCTN=0|ACTI=0|FACT=0,ROWABLE,Primary review: optional disruption and combat resolution expose distinct acts.,63 records; QUST=2; direct raw file read.,APPROVED
d092c2d74494946b,A002,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Orcish Plate,ccbgssse054-ba_orcish.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Orcish Plate\ccbgssse054-ba_orcish.esl,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,,BOOK=2|SPEL=0|MISC=0|LCTN=0|ACTI=0|FACT=0,ROWABLE,Primary review: named bandit-supporting blacksmith and bandit combat resolve directly.,77 records; QUST=2; direct raw file read.,APPROVED
8d55fee38a3b9763,A002,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Orcish Scaled,ccbgssse055-ba_orcishscaled.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Orcish Scaled\ccbgssse055-ba_orcishscaled.esl,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,,BOOK=4|SPEL=0|MISC=0|LCTN=0|ACTI=0|FACT=0,ROWABLE,Primary review: lawful purchase versus intimidation or murder is a genuine outcome fork.,74 records; QUST=2; direct raw file read.,APPROVED
3f7ab371544daeb7,A002,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Silver,ccbgssse056-ba_silver.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Silver\ccbgssse056-ba_silver.esl,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,,BOOK=3|SPEL=0|MISC=0|LCTN=0|ACTI=0|FACT=0,NO-ROWS,Primary review: abandoned-armor discovery has no independent devotional act.,63 records; QUST=2; direct raw file read.,APPROVED
67fce49b8d31354c,A002,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Stalhrim Fur,ccbgssse057-ba_stalhrim.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Stalhrim Fur\ccbgssse057-ba_stalhrim.esl,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,,BOOK=1|SPEL=0|MISC=0|LCTN=0|ACTI=0|FACT=0,ROWABLE,Primary review: avenged Skaal murder by defeating the armed killer.,69 records; QUST=2; direct raw file read.,APPROVED
a402c2d84831eb9f,A002,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Steel Soldier,ccbgssse058-ba_steel.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Steel Soldier\ccbgssse058-ba_steel.esl,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,,BOOK=3|SPEL=0|MISC=0|LCTN=0|ACTI=0|FACT=1,ROWABLE,Primary review: explicit requested warrior death is a resolving combat act.,74 records; QUST=2; direct raw file read.,APPROVED
b08bf4dc72743889,A002,A,Base Game & Creation Club Files,Creation Club - Arcane Accessories,ccbgssse014-spellpack01.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Arcane Accessories\ccbgssse014-spellpack01.esl,PLUGIN,PLUGIN-SUMMARY,read,,,,,,,,BOOK=16|SPEL=22|MISC=1|LCTN=0|ACTI=0|FACT=0,ROWABLE,Primary review: one-shot recovery of a lost spell-tome library is disciplined study.,131 records; QUST=1; direct raw file read.,APPROVED
d3f2f6993a72194d,A002,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Ebony Plate,ccbgssse063-ba_ebony.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Ebony Plate\ccbgssse063-ba_ebony.esl,000840:ccbgssse063-ba_ebony.esl,QUST,read,QUST,000840:ccbgssse063-ba_ebony.esl,ccBGSSSE063_Quest,Heart of Crimson,new-definition,10|20|30|41|50|60|1000,"Objectives: Give alms to the beggar; Pray at the Temple of Talos; retrieve armor. Logs at 30,45,50,60,1000.",,ROWABLE,Primary review: charity and prayer are direct acts; score on resolving stages and retain RUNTIME-VERIFY.,,APPROVED
d3f2f6993a72194d,A002,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Ebony Plate,ccbgssse063-ba_ebony.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Ebony Plate\ccbgssse063-ba_ebony.esl,000855:ccbgssse063-ba_ebony.esl,QUST,read,QUST,000855:ccbgssse063-ba_ebony.esl,ccBGSSSE063_MiscQuest,,new-definition,10|20,"RunOnce; objective Await news from a courier; stages 10(StartUp),20. Startup handoff to main quest.",,NO-ROWS,RunOnce startup handoff; no independent resolving player outcome.,,APPROVED
93090dd7948e2cec,A002,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Elven Hunter,ccbgssse064-ba_elven.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Elven Hunter\ccbgssse064-ba_elven.esl,000819:ccbgssse064-ba_elven.esl,QUST,read,QUST,000819:ccbgssse064-ba_elven.esl,ccBGSSSE064_Quest,Once a Hunter,new-definition,10|20|30|40|50|60|70|80|90|100,Kill Aesrael; search body; retrieve armor. Completion log: player killed the High Elf/bandit and retrieved armor.,,ROWABLE,Primary review: named former bandit killed in direct combat; review double-credit in authoring.,,APPROVED
93090dd7948e2cec,A002,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Elven Hunter,ccbgssse064-ba_elven.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Elven Hunter\ccbgssse064-ba_elven.esl,00081A:ccbgssse064-ba_elven.esl,QUST,read,QUST,00081A:ccbgssse064-ba_elven.esl,ccBGSSSE064_MiscQuest,,new-definition,10|20,"RunOnce; objective Look for bounty information at Falkreath Barracks; stages 10(StartUp),20. Startup handoff.",,NO-ROWS,RunOnce startup handoff; no independent resolving player outcome.,,APPROVED
33e88e1a179deaad,A002,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Iron,ccbgssse052-ba_iron.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Iron\ccbgssse052-ba_iron.esl,000822:ccbgssse052-ba_iron.esl,QUST,read,QUST,000822:ccbgssse052-ba_iron.esl,ccBGSSSE052_Quest,Brothers in Irons,new-definition,1|10|11|12|20|30|40|50|60|70|80|90|100|1000,Investigate camp and inspect body. Logs: player encounters Thalmor Justiciars; completion after dealing with them and retrieving journal.,,ROWABLE,"Primary review: Thalmor confrontation and resolution are direct, non-generic evidence.",,APPROVED
33e88e1a179deaad,A002,A,Base Game & Creation Club Files,Creation Club - Alternative Armors - Iron,ccbgssse052-ba_iron.esl,D:\Wabbajack\modlists\ARR 2.5\mods\Creation Club - Alternative Armors - Iron\ccbgssse052-ba_iron.esl,00082F:ccbgssse052-ba_iron.esl,QUST,read,QUST,00082F:ccbgssse052-ba_iron.esl,ccBGSSSE052_MiscQuest,,new-definition,10|20,"RunOnce; objective Look for note at Nightgate Inn; stages 10(StartUp),20. Startup handoff.",,NO-ROWS,RunOnce startup handoff; no independent resolving player outcome.,,APPROVED
